87,10.40,0.00,
1557404769,88,9.30,0.00,
1557404890,88,9.30,0.00,
1557405011,88,9.30,0.00,
1557405132,88,9.30,0.00,
1557405253,88,9.30,0.00,
1557405374,88,9.30,0.00,
1557405495,88,9.30,0.00,
1557405616,88,9.20,0.00,
1557405737,88,9.30,0.00,
1557405858,88,9.30,0.00,
1557405979,88,9.30,0.00,
1557406100,88,9.20,0.00,
1557406221,88,9.20,0.00,
1557406342,88,9.20,0.00,
1557406463,88,9.20,0.00,
1557406584,88,9.20,0.00,
1557406705,88,9.20,0.00,
1557406826,88,9.20,0.00,
1557406947,88,9.20,0.00,
1557407068,88,9.20,0.00,
1557407189,88,9.20,0.00,
1557407310,88,9.10,0.00,
1557407431,88,9.20,0.00,
0,0,6400.00,0.15,